,OPERATIONAL_DAY,TRAIN_NUMBER,OPERATION_TRAIN_NUMBER,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,COMMERCIAL_LINE_NUMBER_DESIGNATION,TRAIN_GROUP_TRAIN_CATEGORY_ABBREVIATION,TRAIN_GROUP_ROUTE,OPERATING_POINT_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,OPERATIONAL_PUNCTUAL,DAILY_PLAN_OPERATIONAL_DELAY_SEC,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_DAY_PERIOD_IDENTIFIER_FINE,OPERATION_TRAIN_RUN_SEQUENCE_NUMBER,PLAN_FORMATION_MAXIMAL_VELOCITY
0,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LSN,departure,False,pass,,,0,,,,,200
1,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,LANG,arrival,True,pass,2025-01-01 19:10:54.000 +0100,2025-01-01 19:17:11.000 +0100,0,377.0,NVZ,ABEND,11.0,200
2,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,HBTS,departure,False,pass,,,0,,,,,200
3,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,EINF,departure,True,pass,2025-01-01 19:05:00.000 +0100,2025-01-01 19:11:03.000 +0100,0,363.0,NVZ,ABEND,5.0,200
4,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,HBTS,arrival,False,pass,,,0,,,,,200
5,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,SCHL,departure,True,pass,2025-01-01 19:05:36.000 +0100,2025-01-01 19:11:36.000 +0100,0,360.0,NVZ,ABEND,6.0,200
6,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,WOES,departure,False,pass,,,0,,,,,200
7,2025-01-01,4,,,,ICE,ZUE-BS-BAD-BEOS,LB,arrival,False,pass,,,0,,,,,200
8,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,MUOS,departure,True,pass,2025-01-01 19:47:06.000 +0100,2025-01-01 19:55:47.000 +0100,0,521.0,NVZ,ABEND,42.0,200
9,2025-01-01,4,4.0,FV,,ICE,ZUE-BS-BAD-BEOS,GLZB,departure,True,pass,2025-01-01 19:06:42.000 +0100,2025-01-01 19:12:39.000 +0100,0,357.0,NVZ,ABEND,7.0,200
