TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6902,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:05:00,2025-01-01 04:05:00,2025-01-01 04:05:00.000000,0.0,-9.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
1507,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:16:00,2025-01-01 04:16:00,2025-01-01 04:16:00.000000,0.0,-18.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:18:00,2025-01-01 04:18:00,2025-01-01 04:18:00.000000,0.0,10.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
15318,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:18:00,2025-01-01 04:19:00,2025-01-01 04:18:00.000000,0.0,53.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
7657,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:00.000000,0.0,5.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,TUE,FV,arrival,True,pass,200,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:00.492478,0.49247821180506435,28.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,TUE,FV,departure,True,pass,200,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:00.492478,0.49247821180506435,28.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6006,R13,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:22:00,2025-01-01 04:22:00,2025-01-01 04:22:00.000000,0.0,14.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,TWN,FV,arrival,True,pass,200,NVZ,2025-01-01 04:23:00,2025-01-01 04:23:00,2025-01-01 04:23:02.424564,2.42456352516092,8.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,TWN,FV,departure,True,pass,200,NVZ,2025-01-01 04:23:00,2025-01-01 04:23:00,2025-01-01 04:23:02.424564,2.42456352516092,8.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
6903,R23,NE,RV,arrival,True,commercialStop,160,NVZ,2025-01-01 04:25:00,2025-01-01 04:24:00,2025-01-01 04:25:00.000000,0.0,-28.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,LIG,FV,arrival,True,pass,200,NVZ,2025-01-01 04:25:00,2025-01-01 04:25:00,2025-01-01 04:25:02.703321,2.7033208094489964,3.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,LIG,FV,departure,True,pass,200,NVZ,2025-01-01 04:25:00,2025-01-01 04:25:00,2025-01-01 04:25:02.703321,2.7033208094489964,3.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,NV,FV,arrival,True,pass,200,NVZ,2025-01-01 04:27:00,2025-01-01 04:27:00,2025-01-01 04:27:04.099591,4.099591233367391,-3.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
504,IC5,NV,FV,departure,True,pass,200,NVZ,2025-01-01 04:27:00,2025-01-01 04:27:00,2025-01-01 04:27:04.099591,4.099591233367391,-3.0,1.2152326322498406,3.0804015296367115,6.93495857233907,0.0,0.0,0.0,
