TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6902,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:05:00,2025-01-01 04:05:00,2025-01-01 04:05:00.000000,0.0,-9.0,-4,0.0,22,8,10,0.0,
504,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:18:00,2025-01-01 04:18:00,2025-01-01 04:18:00.000000,0.0,10.0,-4,0.0,22,8,10,0.0,
15318,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:18:00,2025-01-01 04:19:00,2025-01-01 04:18:00.000000,0.0,53.0,-4,0.0,22,8,10,0.0,
1507,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:16:00,2025-01-01 04:16:00,2025-01-01 04:18:06.007036,126.00703640858774,-18.0,-4,0.0,22,8,10,0.0,"switch_failure(+126s,snow=10cm) | total_delay=126s"
7657,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:00.000000,0.0,5.0,-4,0.0,22,8,10,0.0,
504,IC5,TUE,FV,arrival,True,pass,200,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:31.494519,31.494518928459,28.0,-4,0.0,22,8,10,0.0,
504,IC5,TUE,FV,departure,True,pass,200,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:31.494519,31.494518928459,28.0,-4,0.0,22,8,10,0.0,total_delay=31s
504,IC5,TWN,FV,arrival,True,pass,200,NVZ,2025-01-01 04:23:00,2025-01-01 04:23:00,2025-01-01 04:23:50.557079,50.5570788140958,8.0,-4,0.0,22,8,10,0.0,
504,IC5,TWN,FV,departure,True,pass,200,NVZ,2025-01-01 04:23:00,2025-01-01 04:23:00,2025-01-01 04:23:50.557079,50.5570788140958,8.0,-4,0.0,22,8,10,0.0,total_delay=51s
6006,R13,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:22:00,2025-01-01 04:22:00,2025-01-01 04:23:52.473114,112.47311395286488,14.0,-4,0.0,22,8,10,0.0,"switch_failure(+112s,snow=10cm) | total_delay=112s"
